,x_m,y_m,c
0,11.664084249,0.252358391,9.50147369203408e-05
1,12.02816828,0.259704175,9.391774905158847e-05
2,12.392252165,0.267037499,9.117021338310208e-05
3,12.756335831,0.274358726,8.731039922057218e-05
4,13.120419278,0.281668368,8.623622517740177e-05
5,13.48450258,0.288966569,8.34659057730531e-05
6,13.848585663,0.296253695,8.019769338635998e-05
7,14.212668601,0.303530181,7.797020190455364e-05
8,14.57675132,0.310796321,7.525214384807858e-05
9,14.940833893,0.318052477,7.359381789535196e-05
10,15.304916321,0.325298869,6.975611019802425e-05
11,15.668998602,0.332536006,6.808698220622275e-05
12,16.033080665,0.339764108,6.480332664350055e-05
13,16.397162583,0.346983612,6.31595704281669e-05
14,16.761244354,0.354194736,5.9865232587349625e-05
15,17.12532598,0.361397917,5.767120884951695e-05
16,17.489407460000002,0.368593446,5.491199946534124e-05
17,17.853488795,0.375781689,5.215670507960633e-05
18,18.217569911,0.38296301,5.0534896312729625e-05
19,18.581650954,0.390137627,4.6686464735721145e-05
20,18.945731851,0.397306049,4.503112367055773e-05
21,19.309812675,0.404468497,4.227280886919228e-05
22,19.673893281,0.411625334,3.954993958194985e-05
23,20.037973814,0.418776924,3.678720483774345e-05
24,20.402054201,0.425923632,3.4593220380924175e-05
25,20.766134442,0.433065749,3.240262205790085e-05
26,21.130214611,0.4402035669999999,2.9088739871574505e-05
27,21.49429463,0.447337524,2.6911430967249714e-05
28,21.85837451,0.454467909,2.4172437885309553e-05
29,22.222454390000003,0.461595088,2.193839027276661e-05
30,22.58653405,0.468719353,1.86820653267988e-05
31,22.9506137,0.47584114,1.70131745647581e-05
32,23.31469322,0.482960668,1.3706352763290196e-05
33,23.67877258,0.4900783749999999,1.2095289884305986e-05
34,24.04285195,0.497194478,8.21888695121814e-06
35,24.40693117,0.504309488,7.129873145060158e-06
36,24.77101032,0.511423551,3.2845798758326052e-06
37,25.1350894,0.518537177,1.0890259428068168e-06
38,25.4991684,0.525650657,1.111123852018918e-06
39,25.86324733,0.532764283,3.867401774242086e-06
40,26.22732611,0.539878419,6.037916395024397e-06
41,26.5914049,0.546993356,9.361156338315241e-06
42,26.95548361,0.554109533,1.1538692801340873e-05
43,27.31956225,0.5612272389999999,1.4289421095307874e-05
44,27.68364088,0.56834684,1.6501203960556198e-05
45,28.04771938,0.575468627,1.9235540885745594e-05
46,28.41179787,0.582592965,2.198134333137904e-05
47,28.77587629,0.589720217,2.4172631358133287e-05
48,29.13995471,0.596850675,2.6946814003238298e-05
49,29.50403298,0.6039847039999999,2.9106908565027547e-05
50,29.86811133,0.611122595,3.2425434122365005e-05
51,30.2321896,0.618264785,3.462409270161183e-05
52,30.59626781,0.6254115659999999,3.6810756096301876e-05
53,30.96034601,0.6325632290000001,4.011167341858491e-05
54,31.32442421,0.6397202120000001,4.1758157906163584e-05
55,31.68850234,0.646882732,4.5059195341552894e-05
56,32.05258046,0.6540512279999999,4.725312025671355e-05
57,32.41665852,0.6612259899999999,5.054370856297503e-05
58,32.78073665,0.668407457,5.16516882234828e-05
59,33.1448147,0.675595773,5.5473080718387915e-05
60,33.50889283,0.682791448,5.77045063016117e-05
61,33.872970890000005,0.689994775,6.0432422960321776e-05
62,34.23704894,0.697206117,6.208055455564476e-05
63,34.601127000000005,0.704425693,6.592426740163591e-05
64,34.96520513,0.7116540140000001,6.758274268910969e-05
65,35.329283180000004,0.718891297,7.032869734579256e-05
66,35.69336124,0.726137908,7.305796517483937e-05
67,36.05743936,0.7333942099999999,7.526692027410292e-05
68,36.42151749,0.740660495,7.856312144003663e-05
69,36.78559562,0.7479372,8.02035935151907e-05
70,37.14967382,0.7552245439999999,8.350880351704065e-05
71,37.51375202,0.762522964,8.569055389374394e-05
72,37.8778303,0.769832751,8.792371031340383e-05
73,38.2419085,0.777154198,9.116987275021552e-05
74,38.60598684,0.78448774,9.394884982642348e-05
75,38.97006519,0.791833743,9.559379001912327e-05
76,39.33414354,0.799192425,9.832411953982254e-05
77,39.69822203,0.806564151,0.00010164315395068842
78,40.06230045,0.813949357,0.00010326038983549502
79,40.42637902,0.821348262,0.00010603650858487187
80,40.79045758,0.828761231,0.00010930636637469526
81,41.15453629,0.836188701,0.00011152307193307809
82,41.518615,0.843630963,0.00011316155401340371
83,41.882693790000005,0.8510882359999999,0.0001170093668613802
84,42.24677264,0.85856103,0.000119199845837165
85,42.61085157,0.866049636,0.00012085055856541035
86,42.974930580000006,0.873554273,0.00012470584732089598
87,43.33900965,0.881075452,0.00012688869753249836
88,43.7030888,0.888613463,0.00012909127517065695
89,44.06716802,0.896168598,0.00013127217639077047
90,44.43124739,0.903741148,0.00013514427558550593
91,44.79532683000001,0.911331625,0.00013677224083903102
92,45.15940634,0.918940245,0.00013897912045962224
93,45.52348593000001,0.926567301,0.00014281402040391798
94,45.88756566000001,0.934213303,0.00014391250347645026
95,46.25164554,0.941878397,0.00014777471515394763
96,46.61572541,0.949563092,0.0001493869313875077
97,46.979805510000006,0.957267607,0.00015215594686990785
98,47.34388568,0.964992306,0.00015546492321283034
99,47.70796592000001,0.972737628,0.00015928116178908812
100,48.072046310000005,0.980504081,0.00020054932912936076
101,48.436126470000005,0.988297131,0.00027204399259581394
