#,x_m,y_m,curvature,speeds
388,-0.37490960404745194,-2.174273887419114,0.03716484170457884,14.280944817100549
389,-0.4029598723261359,-2.1712883750450898,0.03958756797603562,14.234070572455964
390,-0.43096606211850513,-2.1683391541789123,0.042042285958838715,14.186577360938436
391,-0.458926261071516,-2.165428214812515,0.044530882798467945,14.13842867057385
392,-0.48683855683211835,-2.1625575469378324,0.0470552923548629,14.08958708556952
393,-0.5147010370472686,-2.159729140546797,0.049617497946834455,14.040014233216052
394,-0.5425117893639212,-2.1569449856313425,0.052219535058460914,13.989670731524741
395,-0.5702689014290306,-2.1542070721834037,0.05486349421318094,13.938516133620409
396,-0.5979704608895533,-2.1515173901949125,0.05755152391694959,13.88650887079802
397,-0.6256145553924389,-2.1488779296578033,0.0602858336603033,13.833606194439554
398,-0.6531992725846442,-2.1462906805640105,0.06306869704613342,13.7797641154987
399,-0.6807227001131235,-2.143757632905467,0.06590245502363876,13.724937341931229
400,-0.7081829256248311,-2.1412807766741064,0.06878951917549733,13.669079215095689
401,-0.7355780367667235,-2.1388621018618608,0.07173237518835794,13.612141642607293
402,-0.7629061211857505,-2.136503598460667,0.07473358629691444,13.554075031702904
403,-0.7901652665288691,-2.1342072564624566,0.07779579703468388,13.494828216672015
404,-0.817353560443033,-2.131975065859164,0.08092173686306009,13.434348388642805
405,-0.8444690905751967,-2.1298090166427217,0.08411422412994463,13.372581018991639
406,-0.8715099445723172,-2.127711098805064,0.08737616995850324,13.309469784104465
407,-0.8984742100813438,-2.125683302338124,0.09071058240408213,13.244956484949943
408,-0.925359974749233,-2.1237276172338366,0.09412057058023494,13.178980967250201
409,-0.9521653262229399,-2.121846033484134,0.09760934906001448,13.11148103632585
410,-0.9788883521494179,-2.120040541080951,0.10118024218472198,13.042392373731477
411,-1.005527140175624,-2.1183131300162192,0.10483668873077948,12.97164844696228
412,-1.0320797779485082,-2.116665790281875,0.1085822464015482,12.899180422547603
413,-1.0585443531150267,-2.1151005118698505,0.11242059669260632,12.824917071918858
414,-1.0849189533221342,-2.11361928477208,0.11635554961957659,12.748784679936822
415,-1.1112016662167843,-2.1122240989804952,0.12039104872016852,12.67070694811349
416,-1.1373905794459345,-2.1109169444870317,0.12453117594659896,12.590604899954862
417,-1.1634837806565341,-2.1096998112836225,0.12878015680548305,12.508396781515742
418,-1.1894793574955396,-2.1085746893622006,0.1331423654058576,12.103194532520748
419,-1.2153753976099062,-2.107543568714701,0.13762232958659776,11.676431936854291
420,-1.2411699886465868,-2.106608439333056,0.14222473607738148,11.265301313046521
421,-1.266861218252539,-2.1057712912091993,0.14695443561514898,10.868107629843827
422,-1.2924471740747119,-2.1050341143350657,0.15181644798427335,10.483061708946046
423,-1.3179259437600632,-2.104398898702588,0.1568159670835022,10.1185313640359
424,-1.343295614955546,-2.1038676343037,0.16195836575509878,9.765779506782778
425,-1.368554275308115,-2.103442311130334,0.16724920055995976,9.42123716191493
426,-1.393700012464727,-2.1031249191744257,0.17269421626216647,9.091402127283459
427,-1.4187309140723314,-2.102917448427908,0.17829935012638307,8.775381838011157
428,-1.4436450677778856,-2.1028218888827133,0.18407073584412115,8.462994661793768
429,-1.4684405612283433,-2.1028402305307763,0.19001470705929524,8.16948000351117
430,-1.4931154820706611,-2.1029744633640317,0.19613780043036252,7.881030678364757
431,-1.517667917951789,-2.1032265773744117,0.20244675813107604,7.602106024305556
432,-1.5420959565186834,-2.1035985625538483,0.20894852966937721,7.335131247320759
433,-1.5663976854182986,-2.1040924088942785,0.215650272829291,7.071571554389645
434,-1.5905711922975894,-2.104710106387634,0.22255935389662704,6.823259679696394
435,-1.6146145648035113,-2.1054536450258485,0.22968334659399114,6.575852776975467
436,-1.6385258905830151,-2.1063250148008565,0.23703002991724076,6.342977001404583
437,-1.662303257283057,-2.1073262057045907,0.24460738457285075,6.112504932764107
438,-1.6859447525505917,-2.1084592077289845,0.25242358774896334,5.891349715320663
439,-1.7094484640325727,-2.1097260108659723,0.2604870061085705,5.67856732793254
440,-1.7328124793759572,-2.1111286051074876,0.26880618674631374,5.4648442430062305
441,-1.7560348862276955,-2.112668980445464,0.2773898457555448,5.270451443225834
442,-1.7791137722347428,-2.1143491268718346,0.28624685427614793,5.069868139281997
443,-1.8020472250440547,-2.116171034378533,0.29538622152202043,4.883815269692811
444,-1.8248333323025854,-2.118136692957493,0.3048170746236242,4.702831522950345
445,-1.8474701816572903,-2.120248092600649,0.3145486347547227,4.51607702733888
446,-1.86995586075512,-2.122507223299933,0.32459018934087064,4.352556097014074
447,-1.8922884572430314,-2.124916075047281,0.3349510595682188,4.18657603942338
448,-1.9144660587679783,-2.127476637834624,0.34564056331058307,4.015331307287818
449,-1.9364867529769156,-2.130190901653897,0.35666797221366253,3.8677284030874097
450,-1.958348627516799,-2.1330608564970337,0.36804246322953443,3.7183278575261256
451,-1.9800497700345796,-2.1360884923559675,0.3797730633625731,3.5642499249670565
452,-2.0015882681772124,-2.1392757992226317,0.3918685875669716,3.4241065702496085
453,-2.0229622095916526,-2.1426247670889604,0.4043375688369108,3.292745396432259
454,-2.044169681924855,-2.1461373859468864,0.4171881802190907,3.1573637354217143
455,-2.065208772823775,-2.149815645788344,0.43042814774042076,3.0178801932418504
456,-2.0860775699353633,-2.1536615366052674,0.44406465438965365,2.901848333150937
457,-2.106774160906576,-2.1576770483895884,0.45810423238522435,2.7864304585974073
458,-2.1272966333843684,-2.1618641711332414,0.47255265134264673,2.667651546065228
459,-2.147643075015693,-2.1662248948281615,0.48741477028461166,2.5454716500466645
460,-2.1678115734475076,-2.1707612094662814,0.5026944735570484,2.4563197095081106
461,-2.187800216326762,-2.1754751050395327,0.5183942332139834,2.4563197095081106
462,-2.207607091300413,-2.1803685715398515,0.5345160294661421,2.4563197095081106
463,-2.227230286015414,-2.1854435989591705,0.551057067655859,2.4563197095081106
464,-2.24666788811872,-2.190702177289424,0.5680251514933561,2.4563197095081106
465,-2.2659179852572877,-2.196146296522545,0.5853795368982627,2.4563197095081106
466,-2.2849786650780657,-2.2017779466504663,0.6032539864716963,2.4563197095081106
467,-2.303848015228012,-2.2075991176651235,0.6211110579475219,2.4563197095081106
468,-2.322524123354081,-2.2136117995584477,0.6409430946219256,2.4563197095081106
469,-2.3410051331635366,-2.219817859532839,0.6530104909783161,2.4563197095081106
